,user,posts
0,jasongohce,"Kudos to this grab food delivery guy who sending food to whom comfortably waiting at home. If your food arrived late during raining day, please show kindness to these people who’s braving the rain to make food delivery to your doorstep. 👍🏻👍🏻👍🏻..#whatmakessg #visit_singapore #photooftheday #sgphotography #topsgshots #streetphotography #thisissingapore #singapore #kilogrammerz #travelphotography #loves_singapore #Exploreasia #travelasia #ilovetravel #heysonysg #wonderlustsingapore #snapographers #fooddelivery #sgphoto #grabfood #grabfoodsg"
1,yong_hazelle,Yes don need to rush then 🙌 Nice shot 📸👍
2,angelasarahchiang,So true. These are unaung heroes. 👏🏻
3,jasongohce,@angelasarahchiang Poor fellow...I took this photo to let ppl know..thank you 🙏🏻😊
4,alainlicious,"Popular wanton mee @koungwtm now has delivery option on @grabfoodsg, in addition to their new dine-in outlet at @jemsingapore. I ordered in for lunch and took about 40 minutes to reach me.It’s great that they packed the soup separately, but might have to request for pork lard on the app because they don’t include by default. Taste wise, the noodles were still springy and chewy."
5,alainlicious,......#foursquare #foursquarefind #stayathome #eatathome #takeaway #delivery #eatlocal #supportlocal #jiaklocal #supportlocalbiz #smallbizlove #sgforsg #savefnbsg #grabfood #grabfoodsg #wantonmee #jemsingapore #koungswantanmee #koungswantanmee龔氏雲吞面 #koungwtm
6,pohthiamlim,😄👍
7,sgankk,😋👍
8,jasongohce,Waiting for the next order...#whatmakessg #visit_singapore #photooftheday #sgphotography #topsgshots #streetphotography #thisissingapore #singapore #kilogrammerz #travelphotography #loves_singapore #Exploreasia #travelasia #ilovetravel #heysonysg #wonderlustsingapore #snapographers #fooddelivery #sgphoto #grabfood #grabfoodsg
9,fuji.alsacegrunt,Kind of sad to see more green shirt workers in our country..
10,jasongohce,@metrodottime I think they have no choice cause many companies not employing staff at this time. I’m also concern about their safety. 😊
11,leanbento,"“my most astounding record was to polish up 26 regular sized mooncakes in three weeks. It got to a point that I didn’t bother cutting them up.”.“Assuming that a regular-sized yolk mooncake contains 800kcal, I had consumed a total of 20,800kcal in addition to my regular meals in a span of three weeks.”.This mooncake monster is none other than Lean Bento’s owner and founder Charles Ng. 😈.Find out more about the clean and lean mid-autumn treat he has in store for all fellow health foodies at charleswanmushi.com. 😍______Enter promo code LEANCORE at the checkout. Promo valid until 30 September 2020. *Applies to Islandwide and same-day deliveries.*Except Seasonal Specials and Multiple Location Delivery Bundles.Go to leanbento.com/order.Call 67504504 or order@leanbento.com for humanised assistance. 💁🏻‍♀️💁🏻‍♂️______Islandwide delivery 🚚🍱💨#leanbento #bungkussg #startasterdelivery #foodpandasg #grabfoodsg #deliveroosg #sgfood #vegetariansg #lazadasg #halalcertified #halalsg #sgsme #stayhomemakansg #hawkersunited2020 #sgmakan #sgbrand #sgbrands #enterprisesg #asmesg #supportlocal #sgunited #mooncakesg #sgmidautumnfestival #halalmooncake"
12,maskon__sg,Keep it coming! Have you thought about going green and using reusable face mask? ♻️😷
13,himari_jasmine,U selling those mooncake?
14,leanbento,"Hi @himari_jasmine , yes we would be. More details about our protein moon bites are our boss’ blog post at charleswanmushi.com :)"
15,leanbento,Hi @himari_jasmine it’s out!https://www.instagram.com/p/CE1SdlcgS70/?igshid=1beso3xq2579b
16,iamhnhm,😍
17,weijian.wj,😱
18,rusly.tjohnardi,Yumssss
19,elim03,👏👏👏👏
20,futuristfergo,"KEEPING THE DREAMS ALIVE - MY COVID 19 JOURNEYWhy do @grabfoodsg ? And how have your live change?The earnings may not be much, but it serves as my passive income. Before the start of every week, I will calculate the possible or expected total expenditure amount. I will then work hard to meet the targeted amount. For example, if I know that I’m going to have a meeting at @starbuckssg , and I will probably be spending, $30. I will do my delivery rides between classes or after classes to obtain the amount.However hard the circumstances are, I will never give up on my responsibilities and my dreams. I will keep my dreams alive.Aren’t you ashamed? There is a possibility that you will meet your clients or colleagues?Certainly, the possibility of meeting any of them is there. But personally, there is nothing to be ashamed of.Have you ever seen, the physically challenged individuals who are working? Or even the elderlies?I am more ashamed if I don’t do anything to better myself or my situation given that I am able bodied and capable.I’ve never been ashamed doing any kind of jobs as long as I know that whatever im doing is permissible in the eye of the nation’s law and from the perspective of my religion. Like many of us, I come from a family which encountered many hardships yet we continue to strive for excellence.When I was younger, my brother and I, we used to buy cartons of can drinks from @shengsiongsupermarket_official and put them in Styrofoam boxes filled with ice made from home. We then tie the boxes on to the additional passenger seats on our bicycles. We will cycle to hard to reach areas at East Coast Park, basketball courts and street soccer courts to sell them. Besides that, we also gave tuitions and worked as hotel dishwasher at Grand Hyatt. We paid for our A-level examination fees and we never ask from our parents for our school pocket money.To all of you out there if you’re contemplating, there’s nothing to be ashamed of.#resilienteconomy #startuplife #socialtechnopreneur #student #grabfoodsg #shengsiongsupermarket"
21,airabubblyboo,#Respect
22,noonal.farina.realtor.sg,The Real Education
23,alsicario,Well said bruv
